entity_name,entity_type,country,aum_usd,contact_count,transaction_count,completeness_score,red_flags
ACON Investments,Asset Manager,United States,36200000,1,0,0.8235,no_transactions_or_rfps
AE Industrial Partners,Asset Manager,United States,3305200000,1,0,0.8235,no_transactions_or_rfps
Adams Street Partners LLC,Asset Manager,United States,58000000000,1,0,0.7941,no_transactions_or_rfps
ABS Investment Management LLC,Asset Manager,United States,7400000000,1,0,0.7647,no_transactions_or_rfps
Abner Herrman & Brock,Asset Manager,United States,1732567039,1,0,0.7647,no_transactions_or_rfps
Advent International,Asset Manager,United States,76156413908,1,0,0.7647,no_transactions_or_rfps
Abenex Capital,Asset Manager,France,1601235000,1,0,0.7353,no_transactions_or_rfps
Acadian Asset Management,Asset Manager,United States,116160751772,1,0,0.7353,no_transactions_or_rfps
Accel-KKR,Asset Manager,United States,9797710000,1,0,0.7353,no_transactions_or_rfps
Apax Partners LLP,Asset Manager,United Kingdom,65000000000,1,0,0.7353,no_transactions_or_rfps
Aragon Global Management,Family Office,United States,120000000,1,0,0.7059,no_transactions_or_rfps
Hunter Lewis LLC,Family Office,United States,204000000,1,0,0.7059,no_transactions_or_rfps
"Altaris Capital Partners, LLC",Asset Manager,United States,5043187587,1,0,0.7059,no_transactions_or_rfps
American Industrial Partners,Asset Manager,United States,8409185642,1,0,0.7059,no_transactions_or_rfps
"Angelo, Gordon & Co.",Asset Manager,United States,74642267876,1,0,0.7059,no_transactions_or_rfps
Antares Capital,Asset Manager,United States,32267760004,1,0,0.7059,no_transactions_or_rfps
Arclight Capital Partners LLC,Asset Manager,United States,9599320629,1,0,0.7059,no_transactions_or_rfps
Arctos Sports Partners,Asset Manager,United States,866169522,1,0,0.7059,no_transactions_or_rfps
Asia Alternatives Management,Asset Manager,United States,16646743883,1,0,0.7059,no_transactions_or_rfps
ABRY Partners,Asset Manager,United States,13008136338,1,0,0.6765,no_transactions_or_rfps
ASB Capital Management LLC,Asset Manager,United States,32464614170,1,0,0.6765,no_transactions_or_rfps
Abbott Capital Management LLC,Asset Manager,United States,10600000000,1,0,0.6765,no_transactions_or_rfps
Abingworth,Asset Manager,United Kingdom,2000000000,1,0,0.6765,no_transactions_or_rfps
Alinda Capital Partners LLC,Asset Manager,United States,4651463171,1,0,0.6765,no_transactions_or_rfps
Altas Partners LP,Asset Manager,Canada,6900000000,1,0,0.6765,no_transactions_or_rfps
Alternative Investment Capital Limited,Asset Manager,Japan,7130000000,1,0,0.6765,no_transactions_or_rfps
American Century Investments,Asset Manager,United States,201000000000,1,0,0.6765,no_transactions_or_rfps
Amwal Capital Partners,Asset Manager,United Arab Emirates,2000000000,1,0,0.6765,no_transactions_or_rfps
Aquiline Capital Partners LLC,Asset Manager,United States,6100000000,1,0,0.6765,no_transactions_or_rfps
Ares Management,Asset Manager,United States,418800000000,1,0,0.6765,no_transactions_or_rfps
Arrowstreet Capital,Asset Manager,United States,138000000000,1,0,0.6765,no_transactions_or_rfps
Access Holdings,Asset Manager,United States,1800000000,1,0,0.6471,no_transactions_or_rfps
Adelis Equity Partners,Asset Manager,Sweden,2175140000,1,0,0.6471,no_transactions_or_rfps
Aether Investment Partners,Asset Manager,United States,1374668022,1,0,0.6471,no_transactions_or_rfps
Affinity Partners,Asset Manager,United States,2539486916,1,0,0.6471,no_transactions_or_rfps
Al Mal Capital,Asset Manager,United Arab Emirates,435539200,1,0,0.6471,no_transactions_or_rfps
Albright Capital Management LLC,Asset Manager,United States,429700000,1,0,0.6471,no_transactions_or_rfps
Alcuin Capital Partners,Asset Manager,United Kingdom,145000000000,1,0,0.6471,no_transactions_or_rfps
American Pacific Group,Asset Manager,United States,450000000,1,0,0.6471,no_transactions_or_rfps
Ancala Partners,Asset Manager,United Kingdom,3999044000,1,0,0.6471,no_transactions_or_rfps
Arbour Lane Capital Management,Asset Manager,United States,2337209472,1,0,0.6471,no_transactions_or_rfps
Arcapita Group,Asset Manager,Bahrain,245500000,1,0,0.6471,no_transactions_or_rfps
Ardevora Asset Management,Asset Manager,United Kingdom,9646560000,1,0,0.6471,no_transactions_or_rfps
Ardian,Asset Manager,France,164000000000,1,0,0.6471,no_transactions_or_rfps
"Ariel Investments, LLC",Asset Manager,United States,17426654825,1,0,0.6471,no_transactions_or_rfps
Aristotle Capital Management,Asset Manager,United States,49666660464,1,0,0.6471,no_transactions_or_rfps
Arlington Capital Partners,Asset Manager,United States,3300000000,1,0,0.6471,no_transactions_or_rfps
"Ashfield Capital Partners, LLC",Asset Manager,United States,1483644160,1,0,0.6471,no_transactions_or_rfps
Ashford Capital Management,Asset Manager,United States,1228267534,1,0,0.6471,no_transactions_or_rfps
1607 Capital Partners,Asset Manager,United States,4620000000,1,0,0.6176,no_transactions_or_rfps
17Capital,Asset Manager,United Kingdom,11000000000,1,0,0.6176,no_transactions_or_rfps
Actera Group,Asset Manager,Turkey,3300000000,1,0,0.6176,no_transactions_or_rfps
Addenda Capital,Asset Manager,Canada,29066849567,1,0,0.6176,no_transactions_or_rfps
